#SCTime     Date      Time   D(days) E:alt   E:az  E:dist M:alt   M:az  M:dist    FIN    TJD
1226277557 2018-11-15 00:38:59  -0.00   48.3  127.8    15.5    0.3  -76.7    52.7   10083 1437.528
1226299157 2018-11-15 06:38:59   0.25   38.7   87.5    16.3    1.1  -70.8    50.5   10095 1437.778
1226320757 2018-11-15 12:38:59   0.50   22.9   64.2    18.5   -0.0  -65.3    50.5   10107 1438.028
1226342357 2018-11-15 18:38:59   0.75    9.0   50.3    21.4   -2.0  -61.6    51.9   10119 1438.278
1226363957 2018-11-16 00:38:59   1.00   -1.8   40.6    24.5   -4.0  -59.5    54.0   10131 1438.528
1226385557 2018-11-16 06:38:59   1.25  -10.1   33.1    27.6   -5.9  -58.7    56.3   10143 1438.778
1226407157 2018-11-16 12:38:59   1.50  -16.7   26.8    30.7   -7.5  -58.8    58.4   10155 1439.028
1226428757 2018-11-16 18:38:59   1.75  -21.9   21.3    33.6   -8.8  -59.5    60.3   10167 1439.278
1226450357 2018-11-17 00:38:59   2.00  -26.2   16.4    36.3   -9.8  -60.6    62.0   10179 1439.528
1226471957 2018-11-17 06:38:59   2.25  -29.7   11.8    38.8  -10.7  -62.0    63.5   10191 1439.778
1226493557 2018-11-17 12:38:59   2.50  -32.7    7.5    41.2  -11.3  -63.7    64.7   10203 1440.028
1226515157 2018-11-17 18:38:59   2.75  -35.3    3.4    43.4  -11.8  -65.5    65.6   10215 1440.278
1226536757 2018-11-18 00:38:59   3.00  -37.5   -0.5    45.5  -12.2  -67.5    66.4   10227 1440.528
1226558357 2018-11-18 06:38:59   3.25  -39.3   -4.3    47.4  -12.5  -69.5    66.9   10239 1440.778
1226579957 2018-11-18 12:38:59   3.50  -41.0   -8.0    49.1  -12.6  -71.6    67.2   10251 1441.028
1226601557 2018-11-18 18:38:59   3.75  -42.4  -11.6    50.7  -12.7  -73.8    67.3   10263 1441.278
1226623157 2018-11-19 00:38:59   4.00  -43.6  -15.2    52.1  -12.7  -76.1    67.3   10275 1441.528
1226644757 2018-11-19 06:38:59   4.25  -44.6  -18.7    53.5  -12.6  -78.4    67.1   10287 1441.778
1226666357 2018-11-19 12:38:59   4.50  -45.5  -22.1    54.6  -12.5  -80.8    66.8   10299 1442.028
1226687957 2018-11-19 18:38:59   4.75  -46.3  -25.5    55.7  -12.3  -83.3    66.3   10311 1442.278
1226709557 2018-11-20 00:38:59   5.00  -46.9  -28.9    56.6  -12.0  -85.8    65.7   10323 1442.528
1226731157 2018-11-20 06:38:59   5.25  -47.4  -32.2    57.4  -11.7  -88.4    65.0   10335 1442.778
1226752757 2018-11-20 12:38:59   5.50  -47.8  -35.6    58.1  -11.3  -91.0    64.3   10347 1443.028
1226774357 2018-11-20 18:38:59   5.75  -48.1  -38.8    58.6  -10.9  -93.7    63.4   10359 1443.278
1226795957 2018-11-21 00:38:59   6.00  -48.3  -42.1    59.0  -10.4  -96.6    62.4   10371 1443.528
1226817557 2018-11-21 06:38:59   6.25  -48.5  -45.4    59.3   -9.9  -99.4    61.4   10383 1443.778
1226839157 2018-11-21 12:38:59   6.50  -48.5  -48.6    59.5   -9.4 -102.4    60.4   10395 1444.028
1226860757 2018-11-21 18:38:59   6.75  -48.4  -51.8    59.6   -8.8 -105.5    59.3   10407 1444.278
1226882357 2018-11-22 00:38:59   7.00  -48.3  -55.0    59.5   -8.2 -108.7    58.2   10419 1444.528
1226903957 2018-11-22 06:38:59   7.25  -48.0  -58.1    59.3   -7.5 -112.0    57.0   10431 1444.778
1226925557 2018-11-22 12:38:59   7.50  -47.7  -61.3    59.0   -6.7 -115.4    55.9   10443 1445.028
1226947157 2018-11-22 18:38:59   7.75  -47.3  -64.5    58.6   -5.9 -118.9    54.8   10455 1445.278
1226968757 2018-11-23 00:38:59   8.00  -46.7  -67.6    58.0   -5.1 -122.6    53.7   10467 1445.528
1226990357 2018-11-23 06:38:59   8.25  -46.1  -70.8    57.4   -4.2 -126.4    52.7   10479 1445.778
1227011957 2018-11-23 12:38:59   8.50  -45.4  -73.9    56.6   -3.2 -130.4    51.7   10491 1446.028
1227033557 2018-11-23 18:38:59   8.75  -44.6  -77.1    55.6   -2.1 -134.5    50.8   10503 1446.278
1227055157 2018-11-24 00:38:59   9.00  -43.6  -80.2    54.5   -1.0 -138.8    50.0   10515 1446.528
1227076757 2018-11-24 06:38:59   9.25  -42.6  -83.4    53.3    0.2 -143.3    49.2   10527 1446.778
1227098357 2018-11-24 12:38:59   9.50  -41.4  -86.6    52.0    1.4 -147.9    48.7   10539 1447.028
1227119957 2018-11-24 18:38:59   9.75  -40.0  -89.9    50.5    2.8 -152.6    48.2   10551 1447.278
1227141557 2018-11-25 00:38:59  10.00  -38.4  -93.3    48.8    4.2 -157.5    47.9   10563 1447.528
1227163157 2018-11-25 06:38:59  10.25  -36.6  -96.7    47.0    5.7 -162.6    47.8   10575 1447.778
1227184757 2018-11-25 12:38:59  10.50  -34.6 -100.2    45.1    7.2 -167.8    47.9   10587 1448.028
1227206357 2018-11-25 18:38:59  10.75  -32.3 -103.8    42.9    8.8 -173.2    48.2   10599 1448.278
1227227957 2018-11-26 00:38:59  11.00  -29.6 -107.7    40.6   10.5 -178.8    48.8   10611 1448.528
1227249557 2018-11-26 06:38:59  11.25  -26.4 -111.7    38.1   12.2  175.5    49.6   10623 1448.778
1227271157 2018-11-26 12:38:59  11.50  -22.7 -116.1    35.4   13.9  169.5    50.7   10635 1449.028
1227292757 2018-11-26 18:38:59  11.75  -18.1 -121.0    32.6   15.5  163.3    52.1   10647 1449.278
