# Quat (xyzw) is -0.408387784782 -0.886471585572 -0.0651625432427 -0.207705050907
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1216530077 2018-07-25 05:00:59  -0.00  131.2  110.6   89.0   67.5   48.2   56.7   70.3   86.2  16.6  48.6   4668 1324.710
1216533677 2018-07-25 06:00:59   0.04  131.9  110.1   87.8   65.5   48.5   56.6   69.9   85.6  16.6  49.3   4670 1324.752
1216537277 2018-07-25 07:00:59   0.08  132.1  109.5   86.5   63.6   48.9   56.5   69.5   85.0  16.7  50.0   4672 1324.793
1216540877 2018-07-25 08:00:59   0.12  132.1  108.8   85.3   61.9   49.2   56.5   69.2   84.5  16.8  50.8   4674 1324.835
1216544477 2018-07-25 09:00:59   0.17  131.7  108.0   84.2   60.4   49.5   56.4   68.9   84.0  16.9  51.6   4676 1324.877
1216548077 2018-07-25 10:00:59   0.21  131.0  107.0   83.1   59.1   49.7   56.4   68.7   83.6  17.1  52.5   4678 1324.918
1216551677 2018-07-25 11:00:59   0.25  130.0  106.0   82.0   58.0   49.9   56.4   68.4   83.2  17.3  53.4   4680 1324.960
1216555277 2018-07-25 12:00:59   0.29  128.8  104.9   81.0   57.2   50.1   56.4   68.2   82.9  17.6  54.4   4682 1325.002
1216558877 2018-07-25 13:00:59   0.33  127.4  103.8   80.1   56.5   50.2   56.3   68.1   82.7  17.9  55.3   4684 1325.043
1216562477 2018-07-25 14:00:59   0.37  125.9  102.7   79.3   56.1   50.3   56.3   67.9   82.5  18.2  56.3   4686 1325.085
1216566077 2018-07-25 15:00:59   0.42  124.3  101.5   78.6   55.8   50.4   56.3   67.8   82.3  18.5  57.3   4688 1325.127
1216569677 2018-07-25 16:00:59   0.46  122.6  100.4   77.9   55.8   50.5   56.2   67.7   82.2  18.8  58.3   4690 1325.168
1216573277 2018-07-25 17:00:59   0.50  120.8   99.2   77.3   55.9   50.5   56.2   67.7   82.1  19.2  59.3   4692 1325.210
1216576877 2018-07-25 18:00:59   0.54  119.0   98.1   76.8   56.1   50.4   56.1   67.6   82.0  19.6  60.3   4694 1325.252
1216580477 2018-07-25 19:00:59   0.58  117.2   96.9   76.3   56.4   50.4   56.1   67.5   82.0  20.0  61.3   4696 1325.293
1216584077 2018-07-25 20:00:59   0.62  115.4   95.8   75.9   56.9   50.3   56.0   67.5   82.0  20.5  62.3   4698 1325.335
1216587677 2018-07-25 21:00:59   0.67  113.7   94.8   75.6   57.4   50.2   55.9   67.5   82.0  20.9  63.2   4700 1325.377
1216591277 2018-07-25 22:00:59   0.71  111.9   93.8   75.3   58.0   50.1   55.9   67.5   82.0  21.3  64.2   4702 1325.418
1216594877 2018-07-25 23:00:59   0.75  110.2   92.8   75.0   58.7   49.9   55.8   67.5   82.1  21.8  65.1   4704 1325.460
1216598477 2018-07-26 00:00:59   0.79  108.6   91.8   74.9   59.4   49.8   55.7   67.5   82.1  22.3  66.1   4706 1325.502
1216602077 2018-07-26 01:00:59   0.83  107.0   90.9   74.7   60.2   49.6   55.6   67.5   82.2  22.8  67.0   4708 1325.543
1216605677 2018-07-26 02:00:59   0.87  105.4   90.0   74.6   60.9   49.4   55.5   67.5   82.3  23.2  67.9   4710 1325.585
1216609277 2018-07-26 03:00:59   0.92  103.9   89.1   74.5   61.7   49.2   55.4   67.5   82.4  23.7  68.8   4712 1325.627
1216612877 2018-07-26 04:00:59   0.96  102.4   88.3   74.4   62.5   48.9   55.3   67.5   82.5  24.2  69.7   4714 1325.668
1216616477 2018-07-26 05:00:59   1.00  101.0   87.5   74.4   63.3   48.7   55.2   67.5   82.6  24.7  70.5   4716 1325.710
1216620077 2018-07-26 06:00:59   1.04   99.6   86.8   74.4   64.1   48.5   55.1   67.5   82.8  25.2  71.4   4718 1325.752
1216623677 2018-07-26 07:00:59   1.08   98.3   86.1   74.4   64.9   48.2   55.0   67.6   82.9  25.7  72.2   4720 1325.793
1216627277 2018-07-26 08:00:59   1.12   97.0   85.4   74.4   65.7   48.0   54.9   67.6   83.0  26.2  73.0   4722 1325.835
1216630877 2018-07-26 09:00:59   1.17   95.8   84.8   74.5   66.5   47.7   54.8   67.6   83.2  26.7  73.8   4724 1325.877
1216634477 2018-07-26 10:00:59   1.21   94.6   84.1   74.5   67.3   47.4   54.7   67.7   83.3  27.2  74.6   4726 1325.918
1216638077 2018-07-26 11:00:59   1.25   93.4   83.5   74.6   68.1   47.1   54.5   67.7   83.5  27.7  75.3   4728 1325.960
1216641677 2018-07-26 12:00:59   1.29   92.3   83.0   74.7   68.9   46.9   54.4   67.7   83.6  28.2  76.1   4730 1326.002
1216645277 2018-07-26 13:00:59   1.33   91.2   82.4   74.8   69.6   46.6   54.3   67.8   83.8  28.7  76.8   4732 1326.043
1216648877 2018-07-26 14:00:59   1.37   90.2   81.9   74.9   70.4   46.3   54.2   67.8   84.0  29.1  77.5   4734 1326.085
1216652477 2018-07-26 15:00:59   1.42   89.2   81.4   75.0   71.1   46.0   54.1   67.8   84.1  29.6  78.2   4736 1326.127
1216656077 2018-07-26 16:00:59   1.46   88.2   80.9   75.1   71.8   45.7   53.9   67.9   84.3  30.1  78.9   4738 1326.168
1216659677 2018-07-26 17:00:59   1.50   87.3   80.4   75.2   72.5   45.4   53.8   67.9   84.4  30.6  79.5   4740 1326.210
1216663277 2018-07-26 18:00:59   1.54   86.3   80.0   75.3   73.2   45.1   53.7   67.9   84.6  31.1  80.2   4742 1326.252
1216666877 2018-07-26 19:00:59   1.58   85.4   79.6   75.5   73.9   44.8   53.6   68.0   84.8  31.5  80.8   4744 1326.293
