# Quat (xyzw) is -0.453478085485 0.747554224394 0.326582285891 0.358976765428
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1226277557 2018-11-15 00:38:59  -0.00   32.4   35.4   49.8   68.6   97.5   92.5   87.0   82.0  15.5  52.7  10083 1437.528
1226281157 2018-11-15 01:38:59   0.04   37.2   37.4   49.1   66.3   97.8   92.4   86.5   81.2  15.5  52.1  10085 1437.570
1226284757 2018-11-15 02:38:59   0.08   42.0   39.9   48.9   64.2   98.2   92.3   86.1   80.5  15.6  51.7  10087 1437.611
1226288357 2018-11-15 03:38:59   0.12   46.8   42.9   49.1   62.4   98.6   92.4   85.8   79.8  15.7  51.3  10089 1437.653
1226291957 2018-11-15 04:38:59   0.17   51.6   46.0   49.6   60.7   99.1   92.5   85.5   79.1  15.9  51.0  10091 1437.695
1226295557 2018-11-15 05:38:59   0.21   56.3   49.4   50.6   59.4   99.7   92.7   85.2   78.5  16.1  50.7  10093 1437.736
1226299157 2018-11-15 06:38:59   0.25   60.9   52.8   51.8   58.2  100.3   92.9   85.0   78.0  16.3  50.5  10095 1437.778
1226302757 2018-11-15 07:38:59   0.29   65.4   56.3   53.2   57.4  100.9   93.2   84.9   77.5  16.6  50.4  10097 1437.820
1226306357 2018-11-15 08:38:59   0.33   69.8   59.7   54.8   56.8  101.6   93.5   84.8   77.0  16.9  50.3  10099 1437.861
1226309957 2018-11-15 09:38:59   0.37   73.9   63.1   56.6   56.5  102.2   93.8   84.8   76.6  17.3  50.3  10101 1437.903
1226313557 2018-11-15 10:38:59   0.42   77.9   66.4   58.5   56.3  102.9   94.2   84.9   76.3  17.7  50.3  10103 1437.945
1226317157 2018-11-15 11:38:59   0.46   81.8   69.6   60.4   56.4  103.6   94.6   84.9   76.0  18.1  50.4  10105 1437.986
1226320757 2018-11-15 12:38:59   0.50   85.4   72.7   62.3   56.6  104.2   95.0   85.0   75.8  18.5  50.5  10107 1438.028
1226324357 2018-11-15 13:38:59   0.54   88.9   75.6   64.3   56.9  104.9   95.4   85.2   75.6  18.9  50.7  10109 1438.070
1226327957 2018-11-15 14:38:59   0.58   92.3   78.5   66.2   57.4  105.5   95.9   85.3   75.5  19.4  50.9  10111 1438.111
1226331557 2018-11-15 15:38:59   0.62   95.4   81.2   68.1   58.0  106.1   96.3   85.5   75.4  19.9  51.1  10113 1438.153
1226335157 2018-11-15 16:38:59   0.67   98.5   83.8   69.9   58.7  106.8   96.7   85.8   75.4  20.4  51.4  10115 1438.195
1226338757 2018-11-15 17:38:59   0.71  101.4   86.3   71.7   59.4  107.3   97.2   86.0   75.4  20.9  51.6  10117 1438.236
1226342357 2018-11-15 18:38:59   0.75  104.1   88.7   73.4   60.1  107.9   97.6   86.2   75.4  21.4  51.9  10119 1438.278
1226345957 2018-11-15 19:38:59   0.79  106.7   91.0   75.1   60.9  108.4   98.0   86.5   75.5  21.9  52.3  10121 1438.320
1226349557 2018-11-15 20:38:59   0.83  109.2   93.1   76.8   61.7  109.0   98.5   86.8   75.5  22.4  52.6  10123 1438.361
1226353157 2018-11-15 21:38:59   0.87  111.6   95.2   78.3   62.6  109.4   98.9   87.1   75.6  22.9  52.9  10125 1438.403
1226356757 2018-11-15 22:38:59   0.92  113.9   97.2   79.8   63.4  109.9   99.3   87.3   75.8  23.4  53.3  10127 1438.445
1226360357 2018-11-15 23:38:59   0.96  116.0   99.1   81.3   64.3  110.3   99.6   87.6   75.9  24.0  53.7  10129 1438.486
1226363957 2018-11-16 00:38:59   1.00  118.1  100.9   82.7   65.1  110.8  100.0   87.9   76.1  24.5  54.0  10131 1438.528
1226367557 2018-11-16 01:38:59   1.04  120.1  102.6   84.0   65.9  111.2  100.4   88.2   76.2  25.0  54.4  10133 1438.570
1226371157 2018-11-16 02:38:59   1.08  122.0  104.2   85.3   66.8  111.5  100.7   88.5   76.4  25.5  54.8  10135 1438.611
1226374757 2018-11-16 03:38:59   1.12  123.8  105.8   86.6   67.6  111.9  101.1   88.8   76.6  26.1  55.1  10137 1438.653
1226378357 2018-11-16 04:38:59   1.17  125.6  107.3   87.8   68.4  112.2  101.4   89.0   76.8  26.6  55.5  10139 1438.695
1226381957 2018-11-16 05:38:59   1.21  127.2  108.7   88.9   69.2  112.5  101.7   89.3   77.0  27.1  55.9  10141 1438.736
1226385557 2018-11-16 06:38:59   1.25  128.8  110.1   90.0   70.0  112.8  102.0   89.6   77.2  27.6  56.3  10143 1438.778
1226389157 2018-11-16 07:38:59   1.29  130.4  111.4   91.1   70.7  113.0  102.3   89.9   77.5  28.1  56.6  10145 1438.820
1226392757 2018-11-16 08:38:59   1.33  131.9  112.7   92.1   71.5  113.3  102.6   90.1   77.7  28.6  57.0  10147 1438.861
1226396357 2018-11-16 09:38:59   1.37  133.3  113.9   93.1   72.2  113.5  102.8   90.4   77.9  29.2  57.3  10149 1438.903
1226399957 2018-11-16 10:38:59   1.42  134.7  115.1   94.1   72.9  113.7  103.1   90.7   78.2  29.7  57.7  10151 1438.945
1226403557 2018-11-16 11:38:59   1.46  136.0  116.2   95.0   73.6  113.9  103.3   90.9   78.4  30.2  58.0  10153 1438.986
1226407157 2018-11-16 12:38:59   1.50  137.3  117.3   95.9   74.3  114.0  103.5   91.2   78.7  30.7  58.4  10155 1439.028
1226410757 2018-11-16 13:38:59   1.54  138.5  118.3   96.8   75.0  114.2  103.8   91.4   78.9  31.2  58.7  10157 1439.070
1226414357 2018-11-16 14:38:59   1.58  139.7  119.3   97.6   75.6  114.3  104.0   91.7   79.1  31.6  59.1  10159 1439.111
1226417957 2018-11-16 15:38:59   1.62  140.9  120.3   98.4   76.3  114.5  104.2   91.9   79.4  32.1  59.4  10161 1439.153
1226421557 2018-11-16 16:38:59   1.67  142.0  121.2   99.2   76.9  114.6  104.4   92.1   79.6  32.6  59.7  10163 1439.195
1226425157 2018-11-16 17:38:59   1.71  143.1  122.1   99.9   77.5  114.7  104.5   92.4   79.9  33.1  60.0  10165 1439.236
1226428757 2018-11-16 18:38:59   1.75  144.1  123.0  100.7   78.1  114.7  104.7   92.6   80.1  33.6  60.3  10167 1439.278
1226432357 2018-11-16 19:38:59   1.79  145.1  123.8  101.4   78.7  114.8  104.9   92.8   80.4  34.0  60.6  10169 1439.320
1226435957 2018-11-16 20:38:59   1.83  146.1  124.7  102.1   79.3  114.9  105.0   93.0   80.6  34.5  60.9  10171 1439.361
1226439557 2018-11-16 21:38:59   1.87  147.0  125.4  102.7   79.8  114.9  105.1   93.2   80.9  34.9  61.2  10173 1439.403
1226443157 2018-11-16 22:38:59   1.92  147.9  126.2  103.4   80.4  114.9  105.3   93.4   81.1  35.4  61.5  10175 1439.445
1226446757 2018-11-16 23:38:59   1.96  148.8  126.9  104.0   80.9  115.0  105.4   93.6   81.4  35.8  61.8  10177 1439.486
1226450357 2018-11-17 00:38:59   2.00  149.7  127.6  104.6   81.4  115.0  105.5   93.8   81.6  36.3  62.0  10179 1439.528
1226453957 2018-11-17 01:38:59   2.04  150.5  128.3  105.2   81.9  115.0  105.6   94.0   81.9  36.7  62.3  10181 1439.570
1226457557 2018-11-17 02:38:59   2.08  151.3  129.0  105.8   82.4  115.0  105.7   94.2   82.1  37.1  62.5  10183 1439.611
1226461157 2018-11-17 03:38:59   2.12  152.1  129.6  106.4   82.9  115.0  105.8   94.4   82.3  37.6  62.8  10185 1439.653
1226464757 2018-11-17 04:38:59   2.17  152.8  130.3  106.9   83.4  115.0  105.9   94.6   82.6  38.0  63.0  10187 1439.695
1226468357 2018-11-17 05:38:59   2.21  153.6  130.9  107.5   83.9  114.9  106.0   94.7   82.8  38.4  63.3  10189 1439.736
1226471957 2018-11-17 06:38:59   2.25  154.3  131.5  108.0   84.4  114.9  106.1   94.9   83.1  38.8  63.5  10191 1439.778
1226475557 2018-11-17 07:38:59   2.29  155.0  132.0  108.5   84.8  114.8  106.2   95.1   83.3  39.2  63.7  10193 1439.820
1226479157 2018-11-17 08:38:59   2.33  155.6  132.6  109.0   85.3  114.8  106.2   95.2   83.5  39.6  63.9  10195 1439.861
1226482757 2018-11-17 09:38:59   2.37  156.3  133.1  109.5   85.7  114.7  106.3   95.4   83.8  40.0  64.1  10197 1439.903
1226486357 2018-11-17 10:38:59   2.42  156.9  133.6  109.9   86.1  114.6  106.3   95.6   84.0  40.4  64.3  10199 1439.945
1226489957 2018-11-17 11:38:59   2.46  157.5  134.1  110.4   86.6  114.6  106.4   95.7   84.2  40.8  64.5  10201 1439.986
1226493557 2018-11-17 12:38:59   2.50  158.1  134.6  110.8   87.0  114.5  106.4   95.9   84.5  41.2  64.7  10203 1440.028
1226497157 2018-11-17 13:38:59   2.54  158.6  135.1  111.3   87.4  114.4  106.5   96.0   84.7  41.6  64.8  10205 1440.070
1226500757 2018-11-17 14:38:59   2.58  159.2  135.5  111.7   87.8  114.3  106.5   96.1   84.9  42.0  65.0  10207 1440.111
1226504357 2018-11-17 15:38:59   2.62  159.7  136.0  112.1   88.2  114.2  106.5   96.3   85.2  42.3  65.2  10209 1440.153
1226507957 2018-11-17 16:38:59   2.67  160.2  136.4  112.5   88.6  114.1  106.5   96.4   85.4  42.7  65.3  10211 1440.195
1226511557 2018-11-17 17:38:59   2.71  160.7  136.8  112.9   88.9  114.0  106.6   96.6   85.6  43.1  65.5  10213 1440.236
1226515157 2018-11-17 18:38:59   2.75  161.1  137.3  113.3   89.3  113.9  106.6   96.7   85.9  43.4  65.6  10215 1440.278
1226518757 2018-11-17 19:38:59   2.79  161.6  137.6  113.7   89.7  113.7  106.6   96.8   86.1  43.8  65.8  10217 1440.320
1226522357 2018-11-17 20:38:59   2.83  162.0  138.0  114.0   90.1  113.6  106.6   96.9   86.3  44.1  65.9  10219 1440.361
1226525957 2018-11-17 21:38:59   2.87  162.4  138.4  114.4   90.4  113.5  106.6   97.1   86.5  44.5  66.0  10221 1440.403
1226529557 2018-11-17 22:38:59   2.92  162.8  138.8  114.8   90.8  113.3  106.6   97.2   86.7  44.8  66.1  10223 1440.445
1226533157 2018-11-17 23:38:59   2.96  163.1  139.1  115.1   91.1  113.2  106.6   97.3   87.0  45.1  66.2  10225 1440.486
1226536757 2018-11-18 00:38:59   3.00  163.5  139.5  115.5   91.5  113.1  106.6   97.4   87.2  45.5  66.4  10227 1440.528
