start_time,median_flux
1325.29368369, 101.58425140
1325.29507255, 101.86965179
1325.29646141, 101.98692322
1325.29785028, 102.32947540
1325.29923914, 101.98391724
1325.30062800, 102.32500458
1325.30201686, 102.12986755
1325.30340573, 102.45519257
1325.30479459, 102.65114594
1325.30618345, 102.56545258
1325.30757231, 102.76679230
1325.30896118, 103.03306580
1325.31035004, 103.01477814
1325.31173890, 103.23726654
1325.31312776, 103.25071716
1325.31451663, 103.34603882
1325.31590549, 103.27266693
1325.31729435, 103.76052856
1325.31868322, 103.68656158
1325.32007208, 103.85395050
1325.32146094, 104.19992065
1325.32284980, 104.49945068
1325.32423867, 104.59757233
1325.32562753, 104.79526520
1325.32701639, 104.83306122
1325.32840526, 105.01284790
1325.32979412, 105.29386139
1325.33118298, 105.62184143
1325.33257184, 105.73165131
1325.33396071, 106.17966461
1325.33534957, 106.37936401
1325.33673843, 106.45864105
1325.33812730, 106.60900879
1325.33951616, 106.64373779
1325.34090502, 107.02124023
1325.34229388, 107.08285522
1325.34368275, 107.16733551
1325.34507161, 107.51896667
1325.34646047, 107.81065369
1325.34784934, 108.04420471
1325.34923820, 107.85609436
1325.35062706, 107.95944977
1325.35201592, 108.19858551
1325.35340479, 108.25422668
1325.35479365, 108.56646729
1325.35618251, 108.91654968
1325.35757138, 109.25256348
1325.35896024, 109.28534698
1325.36034910, 109.80908966
1325.36173797, 109.80310822
1325.36312683, 110.31172180
1325.36451569, 110.34176636
1325.36590455, 110.54897308
1325.36729342, 110.60711670
1325.36868228, 111.06200409
1325.37007114, 111.39630890
1325.37146001, 111.63063049
1325.37284887, 111.95210266
1325.37423773, 111.92532349
1325.37562660, 112.17653656
1325.37701546, 112.17526245
1325.37840432, 112.32924652
1325.37979319, 112.83012390
1325.38118205, 112.91427612
1325.38257091, 113.16986847
1325.38395978, 113.34047699
1325.38534864, 113.71877289
1325.38673750, 113.68917847
1325.38812637, 113.89344025
1325.38951523, 114.03134155
1325.39090409, 114.53591156
1325.39229295, 114.47887421
1325.39368182, 114.88664246
1325.39507068, 114.87860107
1325.39645954, 115.29309845
1325.39784841, 115.45647430
1325.39923727, 115.82485199
1325.40062613, 115.56529999
1325.40201500, 115.88959503
1325.40340386, 115.92084503
1325.40479272, 116.06234741
1325.40618159, 116.46660614
1325.40757045, 116.37858582
1325.40895931, 116.89276123
1325.41034818, 116.88945770
1325.41173704, 117.39794922
1325.41312590, 117.29676056
1325.41451477, 117.45382690
1325.41590363, 117.60792542
1325.41729249, 117.60173035
1325.41868136, 117.77568817
1325.42007022, 118.01336670
1325.42145909, 118.49317932
1325.42284795, 118.90732574
1325.42423681, 118.85861206
1325.42562568, 118.75494385
1325.42701454, 119.01906586
1325.42840340, 119.18471527
1325.42979227, 119.50086975
1325.43118113, 119.45650482
1325.43256999, 120.18669891
1325.43395886, 120.45928192
1325.43534772, 120.06817627
1325.43673658, 120.75467682
1325.43812545, 120.37415314
1325.43951431, 120.73254395
1325.44090317, 120.92339325
1325.44229204, 120.61666107
1325.44368090, 120.60525513
1325.44506976, 120.94354248
1325.44645863, 121.30201721
1325.44784749, 121.32624054
1325.44923636, 121.48716736
1325.45062522, 121.76778412
1325.45201408, 121.40965271
1325.45340295, 121.69610596
1325.45479181, 121.98447418
1325.45618067, 121.69828796
1325.45756954, 122.21478271
1325.45895840, 122.42875671
1325.46034726, 122.36518097
1325.46173613, 122.60446167
1325.46312499, 122.79737854
1325.46451386, 122.94358063
1325.46590272, 122.80854797
1325.46729158, 123.03831482
1325.46868045, 122.92983246
1325.47006931, 123.23078918
1325.47145817, 123.51079559
1325.47284704, 123.93784332
1325.47423590, 123.78087616
1325.47562477, 124.19574738
1325.47701363, 124.30001831
1325.47840249, 124.23457336
1325.47979136, 124.64435577
1325.48118022, 124.50209808
1325.48256908, 124.76469421
1325.48395795, 125.29987335
1325.48534681, 125.41113281
1325.48673568, 125.93453979
1325.48812454, 126.24929810
1325.48951340, 126.57814789
1325.49090227, 126.22360992
1325.49229113, 126.76180267
1325.49367999, 126.64074707
1325.49506886, 126.73395538
1325.49645772, 126.93978882
1325.49784659, 127.20648193
1325.49923545, 127.91149139
1325.50062431, 128.08886719
1325.50201318, 128.23588562
1325.50340204, 128.15621948
1325.50479091, 128.33090210
1325.50617977, 128.65542603
1325.50756863, 128.25039673
1325.50895750, 128.54541016
1325.51034636, 129.00111389
1325.51173523, 129.33218384
1325.51312409, 129.87536621
1325.51451295, 129.74929810
1325.51590182, 129.59190369
1325.51729068, 129.83453369
1325.51867955, 130.03617859
1325.52006841, 130.40165710
1325.52145727, 130.66123962
1325.52284614, 131.08148193
1325.52423500, 131.20492554
1325.52562387, 131.36541748
1325.52701273, 131.51306152
1325.52840159, 131.93911743
1325.52979046, 131.77746582
1325.53117932, 132.16569519
1325.53256819, 132.31669617
1325.53395705, 132.60336304
1325.53534591, 132.68609619
1325.53673478, 133.04324341
1325.53812364, 133.47975159
1325.53951251, 133.58462524
1325.54090137, 133.85656738
1325.54229023, 133.90466309
1325.54367910, 133.97538757
1325.54506796, 134.05149841
1325.54645683, 134.41484070
1325.54784569, 134.17835999
1325.54923456, 134.69038391
1325.55062342, 135.03695679
1325.55201228, 135.06260681
1325.55340115, 135.48878479
1325.55479001, 135.51152039
1325.55617888, 135.58155823
1325.55756774, 135.50001526
1325.55895660, 135.65863037
1325.56034547, 135.72515869
1325.56173433, 135.61952209
1325.56312320, 136.39482117
1325.56451206, 136.50476074
1325.56590093, 137.06413269
1325.56728979, 136.86682129
1325.56867865, 137.24438477
1325.57006752, 136.86968994
1325.57145638, 137.20062256
1325.57284525, 137.30751038
1325.57423411, 137.34010315
1325.57562298, 137.75894165
1325.57701184, 137.86585999
1325.57840070, 137.96199036
1325.57978957, 138.43341064
1325.58117843, 138.44807434
1325.58256730, 137.97319031
1325.58395616, 138.37269592
1325.58534503, 138.47404480
1325.58673389, 138.30244446
1325.58812275, 138.31567383
1325.58951162, 138.76322937
1325.59090048, 138.88763428
1325.59228935, 139.37698364
1325.59367821, 139.18692017
1325.59506708, 139.22967529
1325.59645594, 139.19960022
1325.59784481, 139.23901367
1325.59923367, 139.33750916
1325.60062253, 139.54884338
1325.60201140, 139.54925537
1325.60340026, 140.18246460
1325.60478913, 139.77368164
1325.60617799, 140.33157349
1325.60756686, 140.10835266
1325.60895572, 140.43063354
1325.61034459, 140.21328735
1325.61173345, 140.49868774
1325.61312231, 140.27368164
1325.61451118, 140.41436768
1325.61590004, 140.64027405
1325.61728891, 140.87556458
1325.61867777, 141.03330994
1325.62006664, 140.96493530
1325.62145550, 140.62443542
1325.62284437, 140.73312378
1325.62423323, 140.87303162
1325.62562209, 140.94897461
1325.62701096, 140.60604858
1325.62839982, 140.90505981
1325.62978869, 141.24647522
1325.63117755, 141.41520691
1325.63256642, 141.37962341
1325.63395528, 141.21780396
1325.63534415, 141.11691284
1325.63673301, 141.14082336
1325.63812188, 141.01620483
1325.63951074, 141.27658081
1325.64089961, 140.77069092
1325.64228847, 140.75260925
1325.64367733, 141.37414551
1325.64506620, 141.66587830
1325.64645506, 141.59609985
1325.64784393, 140.54351807
1325.64923279, 141.06655884
1325.65062166, 141.29127502
1325.65201052, 140.34074402
1325.65339939, 141.31533813
1325.65478825, 140.26451111
1325.65617712, 141.11642456
1325.65756598, 141.46969604
1325.65895485, 141.61564636
1325.66034371, 141.56344604
1325.66173257, 141.02091980
1325.66312144, 141.18644714
1325.66451030, 141.55480957
1325.66589917, 140.02793884
1325.66728803, 141.26535034
1325.66867690, 141.05297852
1325.67006576, 141.33657837
1325.67145463, 141.61825562
1325.67284349, 141.45967102
1325.67423236, 140.83518982
1325.67562122, 141.29287720
1325.67701009, 141.34576416
1325.67839895, 141.36567688
1325.67978782, 141.16156006
1325.68117668, 141.52789307
1325.68256555, 141.51512146
1325.68395441, 142.12417603
1325.68534328, 141.90280151
1325.68673214, 142.42237854
1325.68812101, 141.62634277
1325.68950987, 141.55070496
1325.69089874, 142.22398376
1325.69228760, 142.27998352
1325.69367646, 141.91610718
1325.69506533, 141.90602112
1325.69645419, 142.14097595
1325.69784306, 142.07623291
1325.69923192, 142.30697632
1325.70062079, 142.56466675
1325.70200965, 141.66966248
1325.70339852, 142.16079712
1325.70478738, 142.48043823
1325.70617625, 143.00735474
1325.70756511, 142.70294189
1325.70895398, 142.29618835
1325.71034284, 142.78536987
1325.71173171, 142.93453979
1325.71312057, 143.09123230
1325.71450944, 142.33988953
1325.71589830, 142.82269287
1325.71728717, 143.18215942
1325.71867603, 143.37313843
1325.72006490, 143.84226990
1325.72145376, 143.75715637
1325.72284263, 143.51736450
1325.72423149, 143.63986206
1325.72562036, 143.84233093
1325.72700922, 144.42088318
1325.72839809, 143.78024292
1325.72978695, 144.38868713
1325.73117582, 144.19378662
1325.73256468, 144.61071777
1325.73395355, 144.65086365
1325.73534241, 144.19305420
1325.73673128, 144.53065491
1325.73812014, 145.43902588
1325.73950901, 145.36776733
1325.74089787, 145.43814087
1325.74228674, 146.31611633
1325.74367560, 145.49449158
1325.74506447, 145.48944092
1325.74645333, 145.87037659
1325.74784220, 146.37113953
1325.74923106, 145.46617126
1325.75061993, 145.55442810
1325.75200879, 145.90452576
1325.75339766, 146.15235901
1325.75478652, 146.89060974
